organization_en,aia_count,average_completeness_pct,average_nonconditional_completeness_pct,recovered_count
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",13,91.43615384615386,96.47,0
Employment and Social Development Canada | Emploi et Développement social Canada,9,90.06222222222222,98.68333333333334,0
Canada Border Services Agency | Agence des services frontaliers du Canada,4,91.74,98.305,3
Veterans Affairs Canada | Anciens Combattants Canada,3,78.92333333333333,81.51333333333334,1
Public Services and Procurement Canada | Services publics et Approvisionnement Canada,2,82.14500000000001,96.61,0
Royal Canadian Mounted Police | Gendarmerie royale du Canada,2,87.5,100.0,2
Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,2,90.1,95.97999999999999,0
"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",1,85.71,98.31,0
Public Health Agency of Canada | Agence de la santé publique du Canada,1,,,0
Transport Canada | Transports Canada,1,93.75,100.0,0
