organization_en,owner_org,total_aia_count,json_backed_aia_count,missing_json_count,level_2_plus_aia_count,peer_review_resource_found_count,peer_review_resource_missing_count,avg_completion_all_pct,median_completion_all_pct,avg_completion_nonconditional_pct,median_completion_nonconditional_pct,peer_review_resource_coverage_pct,project_phase_item1_design_count,project_phase_item2_implementation_count
"Immigration, Refugees and Citizenship Canada",51383040-F4F9-4B96-9E6B-2D70AAFB522A,13,13,0,11,6,5,66.06615384615385,67.32,96.47,98.99,54.5,0,13
Employment and Social Development Canada,055ADCD8-8FDA-40DA-A5B7-689FF7DB57A6,9,9,0,2,0,2,65.64444444444445,65.36,98.68333333333334,98.31,0.0,0,9
Canada Border Services Agency,33DD2B45-8215-44E1-9C60-D7E829B6D48E,4,1,3,1,1,0,16.9925,0.0,25.0,0.0,100.0,0,1
Veterans Affairs Canada,EADD6F05-3BE4-4AF6-AD22-4045878B73CB,3,2,1,2,0,2,43.20000000000001,63.2,64.33999999999999,95.35,0.0,1,1
Public Services and Procurement Canada,39C93B4D-4F69-4F43-A5B6-FFF89E8B0DF2,2,2,0,1,0,1,61.19,61.19,96.61,96.61,0.0,1,1
Royal Canadian Mounted Police,32365B12-5BF6-4B3A-AD1F-F5DAD76D2FDB,2,0,2,0,0,0,0.0,0.0,0.0,0.0,,0,0
Treasury Board of Canada Secretariat,81765FCD-32B3-4708-A593-3AA00705E62B,2,2,0,1,0,1,64.68,64.68,95.97999999999999,95.97999999999999,0.0,0,2
"Innovation, Science and Economic Development Canada",06CC519C-E56E-4FC8-8B9C-BE0A461E3CD9,1,1,0,0,0,0,62.75,62.75,98.31,98.31,,0,1
Public Health Agency of Canada,1C71053B-AA64-4646-956B-41631C396018,1,1,0,1,0,1,66.4,66.4,97.67,97.67,0.0,0,1
Transport Canada,AEAE485F-42DE-4D33-AFA3-F8A3A76FC663,1,1,0,1,1,0,68.63,68.63,100.0,100.0,100.0,0,1
